;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 7/27/2016 10:22:29 AM
;----------------------------------------------

;Address Opcode 	ASM
0x0076	0x93EF    	PUSH       R30
0x0078	0x93FF    	PUSH       R31
0x007A	0xE4E5    	LDI        R30, 69
0x007C	0xE1F5    	LDI        R31, 21
0x007E	0x9409    	IJMP
_main:
0x2B4C	0xEFBF    	LDI        R27, 255
0x2B4E	0xBFBD    	OUT        SPL+0, R27
0x2B50	0xE0B8    	LDI        R27, 8
0x2B52	0xBFBE    	OUT        SPL+1, R27
0x2B54	0xD266    	RCALL      6161
0x2B56	0xB7CD    	IN         R28, SPL+0
0x2B58	0xB7DE    	IN         R29, SPL+1
0x2B5A	0x9724    	SBIW       R28, 4
0x2B5C	0xBFCD    	OUT        SPL+0, R28
0x2B5E	0xBFDE    	OUT        SPL+1, R29
0x2B60	0x9621    	ADIW       R28, 1
;SmokeFactory.c,45 :: 		void main()
;SmokeFactory.c,50 :: 		LED_DDR = 1;
0x2B62	0x922F    	PUSH       R2
0x2B64	0x923F    	PUSH       R3
0x2B66	0x924F    	PUSH       R4
0x2B68	0x925F    	PUSH       R5
0x2B6A	0xB1B4    	IN         R27, DDB5_bit+0
0x2B6C	0x62B0    	SBR        R27, 32
0x2B6E	0xB9B4    	OUT        DDB5_bit+0, R27
;SmokeFactory.c,51 :: 		USART_Init();
0x2B70	0xDDE7    	RCALL      _USART_Init+0
;SmokeFactory.c,52 :: 		vInitTimer_1();
0x2B72	0xDDFC    	RCALL      _vInitTimer_1+0
;SmokeFactory.c,53 :: 		SREG_I_bit = 1;
0x2B74	0xB7BF    	IN         R27, SREG_I_bit+0
0x2B76	0x68B0    	SBR        R27, 128
0x2B78	0xBFBF    	OUT        SREG_I_bit+0, R27
;SmokeFactory.c,54 :: 		Lcd_Init();                        // Initialize LCD
0x2B7A	0xDE13    	RCALL      _Lcd_Init+0
;SmokeFactory.c,55 :: 		Lcd_Cmd(_LCD_CLEAR);               // Clear display
0x2B7C	0xE0B1    	LDI        R27, 1
0x2B7E	0x2E2B    	MOV        R2, R27
0x2B80	0xDD7B    	RCALL      _Lcd_Cmd+0
;SmokeFactory.c,56 :: 		Lcd_Cmd(_LCD_CURSOR_OFF);          // Cursor off
0x2B82	0xE0BC    	LDI        R27, 12
0x2B84	0x2E2B    	MOV        R2, R27
0x2B86	0xDD78    	RCALL      _Lcd_Cmd+0
;SmokeFactory.c,57 :: 		Lcd_Out(1,1,"  Lakshmi Solar ");                 // Write text in first row
0x2B88	0xE0B8    	LDI        R27, lo_addr(?lstr1_SmokeFactory+0)
0x2B8A	0x2E4B    	MOV        R4, R27
0x2B8C	0xE0B1    	LDI        R27, hi_addr(?lstr1_SmokeFactory+0)
0x2B8E	0x2E5B    	MOV        R5, R27
0x2B90	0xE0B1    	LDI        R27, 1
0x2B92	0x2E3B    	MOV        R3, R27
0x2B94	0xE0B1    	LDI        R27, 1
0x2B96	0x2E2B    	MOV        R2, R27
0x2B98	0xDD23    	RCALL      _Lcd_Out+0
;SmokeFactory.c,59 :: 		USART_SendByte('L');
0x2B9A	0xE4BC    	LDI        R27, 76
0x2B9C	0x2E2B    	MOV        R2, R27
0x2B9E	0xDD18    	RCALL      _USART_SendByte+0
;SmokeFactory.c,60 :: 		USART_SendByte('A');
0x2BA0	0xE4B1    	LDI        R27, 65
0x2BA2	0x2E2B    	MOV        R2, R27
0x2BA4	0xDD15    	RCALL      _USART_SendByte+0
;SmokeFactory.c,61 :: 		USART_SendByte('K');
0x2BA6	0xE4BB    	LDI        R27, 75
0x2BA8	0x2E2B    	MOV        R2, R27
0x2BAA	0xDD12    	RCALL      _USART_SendByte+0
;SmokeFactory.c,62 :: 		USART_SendByte('S');
0x2BAC	0xE5B3    	LDI        R27, 83
0x2BAE	0x2E2B    	MOV        R2, R27
0x2BB0	0xDD0F    	RCALL      _USART_SendByte+0
;SmokeFactory.c,63 :: 		USART_SendByte('H');
0x2BB2	0xE4B8    	LDI        R27, 72
0x2BB4	0x2E2B    	MOV        R2, R27
0x2BB6	0xDD0C    	RCALL      _USART_SendByte+0
;SmokeFactory.c,64 :: 		USART_SendByte('M');
0x2BB8	0xE4BD    	LDI        R27, 77
0x2BBA	0x2E2B    	MOV        R2, R27
0x2BBC	0xDD09    	RCALL      _USART_SendByte+0
;SmokeFactory.c,65 :: 		USART_SendByte('I');
0x2BBE	0xE4B9    	LDI        R27, 73
0x2BC0	0x2E2B    	MOV        R2, R27
0x2BC2	0xDD06    	RCALL      _USART_SendByte+0
;SmokeFactory.c,66 :: 		LED_DATA = 0;
0x2BC4	0xB1B5    	IN         R27, PORTB5_bit+0
0x2BC6	0x7DBF    	CBR        R27, 32
0x2BC8	0xB9B5    	OUT        PORTB5_bit+0, R27
;SmokeFactory.c,67 :: 		vClearBuffer();
0x2BCA	0xDF18    	RCALL      _vClearBuffer+0
;SmokeFactory.c,68 :: 		while(1)
L_main0:
;SmokeFactory.c,70 :: 		ucPacketIndex=0;
0x2BCC	0xE0B0    	LDI        R27, 0
0x2BCE	0x013593B0  	STS        _ucPacketIndex+0, R27
;SmokeFactory.c,71 :: 		SREG_I_bit = 0;
0x2BD2	0xB7BF    	IN         R27, SREG_I_bit+0
0x2BD4	0x77BF    	CBR        R27, 128
0x2BD6	0xBFBF    	OUT        SREG_I_bit+0, R27
;SmokeFactory.c,72 :: 		RXEN0_bit = 0;
0x2BD8	0x00C191B0  	LDS        R27, RXEN0_bit+0
0x2BDC	0x7EBF    	CBR        R27, 16
0x2BDE	0x00C193B0  	STS        RXEN0_bit+0, R27
;SmokeFactory.c,73 :: 		vSendPacket(&ucVoltage,8);
0x2BE2	0xE0B8    	LDI        R27, 8
0x2BE4	0x2E4B    	MOV        R4, R27
0x2BE6	0xE1B9    	LDI        R27, lo_addr(_ucVoltage+0)
0x2BE8	0x2E2B    	MOV        R2, R27
0x2BEA	0xE0B1    	LDI        R27, hi_addr(_ucVoltage+0)
0x2BEC	0x2E3B    	MOV        R3, R27
0x2BEE	0xDEF0    	RCALL      _vSendPacket+0
;SmokeFactory.c,74 :: 		SREG_I_bit = 1;
0x2BF0	0xB7BF    	IN         R27, SREG_I_bit+0
0x2BF2	0x68B0    	SBR        R27, 128
0x2BF4	0xBFBF    	OUT        SREG_I_bit+0, R27
;SmokeFactory.c,75 :: 		RXEN0_bit = 1;
0x2BF6	0x00C191B0  	LDS        R27, RXEN0_bit+0
0x2BFA	0x61B0    	SBR        R27, 16
0x2BFC	0x00C193B0  	STS        RXEN0_bit+0, R27
;SmokeFactory.c,76 :: 		delay_ms(1000);
0x2C00	0xE522    	LDI        R18, 82
0x2C02	0xE21B    	LDI        R17, 43
0x2C04	0xE000    	LDI        R16, 0
L_main2:
0x2C06	0x950A    	DEC        R16
0x2C08	0xF7F1    	BRNE       L_main2
0x2C0A	0x951A    	DEC        R17
0x2C0C	0xF7E1    	BRNE       L_main2
0x2C0E	0x952A    	DEC        R18
0x2C10	0xF7D1    	BRNE       L_main2
0x2C12	0x0000    	NOP
0x2C14	0x0000    	NOP
0x2C16	0x0000    	NOP
0x2C18	0x0000    	NOP
;SmokeFactory.c,77 :: 		if(ucPacket[2] != 0x83 && ucPacket[1] != 0x00)
0x2C1A	0x016E9100  	LDS        R16, _ucPacket+2
0x2C1E	0x3803    	CPI        R16, 131
0x2C20	0xF0B9    	BREQ       L__main38
L__main44:
0x2C22	0x016D9100  	LDS        R16, _ucPacket+1
0x2C26	0x3000    	CPI        R16, 0
0x2C28	0xF099    	BREQ       L__main37
L__main45:
L__main36:
;SmokeFactory.c,79 :: 		uiVoltage = ((unsigned int)(ucPacket[4]<<8))|ucPacket[5];
0x2C2A	0x01709100  	LDS        R16, _ucPacket+4
0x2C2E	0x2F30    	MOV        R19, R16
0x2C30	0x2722    	CLR        R18
0x2C32	0x01719100  	LDS        R16, _ucPacket+5
0x2C36	0xE010    	LDI        R17, 0
0x2C38	0x2B02    	OR         R16, R18
0x2C3A	0x2B13    	OR         R17, R19
0x2C3C	0x01339300  	STS        _uiVoltage+0, R16
0x2C40	0x01349310  	STS        _uiVoltage+1, R17
;SmokeFactory.c,80 :: 		bCommStatus = 1;
0x2C44	0x013091B0  	LDS        R27, _bCommStatus+0
0x2C48	0x60B1    	SBR        R27, 1
0x2C4A	0x013093B0  	STS        _bCommStatus+0, R27
;SmokeFactory.c,81 :: 		}
0x2C4E	0xC005    	RJMP       L_main7
;SmokeFactory.c,77 :: 		if(ucPacket[2] != 0x83 && ucPacket[1] != 0x00)
L__main38:
L__main37:
;SmokeFactory.c,84 :: 		bCommStatus = 0;
0x2C50	0x013091B0  	LDS        R27, _bCommStatus+0
0x2C54	0x7FBE    	CBR        R27, 1
0x2C56	0x013093B0  	STS        _bCommStatus+0, R27
;SmokeFactory.c,85 :: 		}
L_main7:
;SmokeFactory.c,86 :: 		vClearBuffer();
0x2C5A	0xDED0    	RCALL      _vClearBuffer+0
;SmokeFactory.c,88 :: 		ucPacketIndex=0;
0x2C5C	0xE0B0    	LDI        R27, 0
0x2C5E	0x013593B0  	STS        _ucPacketIndex+0, R27
;SmokeFactory.c,89 :: 		SREG_I_bit = 0;
0x2C62	0xB7BF    	IN         R27, SREG_I_bit+0
0x2C64	0x77BF    	CBR        R27, 128
0x2C66	0xBFBF    	OUT        SREG_I_bit+0, R27
;SmokeFactory.c,90 :: 		RXEN0_bit = 0;
0x2C68	0x00C191B0  	LDS        R27, RXEN0_bit+0
0x2C6C	0x7EBF    	CBR        R27, 16
0x2C6E	0x00C193B0  	STS        RXEN0_bit+0, R27
;SmokeFactory.c,91 :: 		vSendPacket(&ucCurrent,8);
0x2C72	0xE0B8    	LDI        R27, 8
0x2C74	0x2E4B    	MOV        R4, R27
0x2C76	0xE0B0    	LDI        R27, lo_addr(_ucCurrent+0)
0x2C78	0x2E2B    	MOV        R2, R27
0x2C7A	0xE0B1    	LDI        R27, hi_addr(_ucCurrent+0)
0x2C7C	0x2E3B    	MOV        R3, R27
0x2C7E	0xDEA8    	RCALL      _vSendPacket+0
;SmokeFactory.c,92 :: 		SREG_I_bit = 1;
0x2C80	0xB7BF    	IN         R27, SREG_I_bit+0
0x2C82	0x68B0    	SBR        R27, 128
0x2C84	0xBFBF    	OUT        SREG_I_bit+0, R27
;SmokeFactory.c,93 :: 		RXEN0_bit = 1;
0x2C86	0x00C191B0  	LDS        R27, RXEN0_bit+0
0x2C8A	0x61B0    	SBR        R27, 16
0x2C8C	0x00C193B0  	STS        RXEN0_bit+0, R27
;SmokeFactory.c,94 :: 		delay_ms(1000);
0x2C90	0xE522    	LDI        R18, 82
0x2C92	0xE21B    	LDI        R17, 43
0x2C94	0xE000    	LDI        R16, 0
L_main8:
0x2C96	0x950A    	DEC        R16
0x2C98	0xF7F1    	BRNE       L_main8
0x2C9A	0x951A    	DEC        R17
0x2C9C	0xF7E1    	BRNE       L_main8
0x2C9E	0x952A    	DEC        R18
0x2CA0	0xF7D1    	BRNE       L_main8
0x2CA2	0x0000    	NOP
0x2CA4	0x0000    	NOP
0x2CA6	0x0000    	NOP
0x2CA8	0x0000    	NOP
;SmokeFactory.c,95 :: 		if(ucPacket[2] != 0x83 && ucPacket[1] != 0x00)
0x2CAA	0x016E9100  	LDS        R16, _ucPacket+2
0x2CAE	0x3803    	CPI        R16, 131
0x2CB0	0xF0B9    	BREQ       L__main40
L__main46:
0x2CB2	0x016D9100  	LDS        R16, _ucPacket+1
0x2CB6	0x3000    	CPI        R16, 0
0x2CB8	0xF099    	BREQ       L__main39
L__main47:
L__main35:
;SmokeFactory.c,97 :: 		uiCurrent = ((unsigned int)(ucPacket[4]<<8))|ucPacket[5];
0x2CBA	0x01709100  	LDS        R16, _ucPacket+4
0x2CBE	0x2F30    	MOV        R19, R16
0x2CC0	0x2722    	CLR        R18
0x2CC2	0x01719100  	LDS        R16, _ucPacket+5
0x2CC6	0xE010    	LDI        R17, 0
0x2CC8	0x2B02    	OR         R16, R18
0x2CCA	0x2B13    	OR         R17, R19
0x2CCC	0x01319300  	STS        _uiCurrent+0, R16
0x2CD0	0x01329310  	STS        _uiCurrent+1, R17
;SmokeFactory.c,98 :: 		bCommStatus = 1;
0x2CD4	0x013091B0  	LDS        R27, _bCommStatus+0
0x2CD8	0x60B1    	SBR        R27, 1
0x2CDA	0x013093B0  	STS        _bCommStatus+0, R27
;SmokeFactory.c,99 :: 		}
0x2CDE	0xC005    	RJMP       L_main13
;SmokeFactory.c,95 :: 		if(ucPacket[2] != 0x83 && ucPacket[1] != 0x00)
L__main40:
L__main39:
;SmokeFactory.c,102 :: 		bCommStatus = 0;
0x2CE0	0x013091B0  	LDS        R27, _bCommStatus+0
0x2CE4	0x7FBE    	CBR        R27, 1
0x2CE6	0x013093B0  	STS        _bCommStatus+0, R27
;SmokeFactory.c,103 :: 		}
L_main13:
;SmokeFactory.c,104 :: 		vClearBuffer();
0x2CEA	0xDE88    	RCALL      _vClearBuffer+0
;SmokeFactory.c,106 :: 		ucPacketIndex=0;
0x2CEC	0xE0B0    	LDI        R27, 0
0x2CEE	0x013593B0  	STS        _ucPacketIndex+0, R27
;SmokeFactory.c,107 :: 		SREG_I_bit = 0;
0x2CF2	0xB7BF    	IN         R27, SREG_I_bit+0
0x2CF4	0x77BF    	CBR        R27, 128
0x2CF6	0xBFBF    	OUT        SREG_I_bit+0, R27
;SmokeFactory.c,108 :: 		RXEN0_bit = 0;
0x2CF8	0x00C191B0  	LDS        R27, RXEN0_bit+0
0x2CFC	0x7EBF    	CBR        R27, 16
0x2CFE	0x00C193B0  	STS        RXEN0_bit+0, R27
;SmokeFactory.c,109 :: 		vSendPacket(&ucFreq,8);
0x2D02	0xE0B8    	LDI        R27, 8
0x2D04	0x2E4B    	MOV        R4, R27
0x2D06	0xE2B8    	LDI        R27, lo_addr(_ucFreq+0)
0x2D08	0x2E2B    	MOV        R2, R27
0x2D0A	0xE0B1    	LDI        R27, hi_addr(_ucFreq+0)
0x2D0C	0x2E3B    	MOV        R3, R27
0x2D0E	0xDE60    	RCALL      _vSendPacket+0
;SmokeFactory.c,110 :: 		SREG_I_bit = 1;
0x2D10	0xB7BF    	IN         R27, SREG_I_bit+0
0x2D12	0x68B0    	SBR        R27, 128
0x2D14	0xBFBF    	OUT        SREG_I_bit+0, R27
;SmokeFactory.c,111 :: 		RXEN0_bit = 1;
0x2D16	0x00C191B0  	LDS        R27, RXEN0_bit+0
0x2D1A	0x61B0    	SBR        R27, 16
0x2D1C	0x00C193B0  	STS        RXEN0_bit+0, R27
;SmokeFactory.c,112 :: 		delay_ms(1000);
0x2D20	0xE522    	LDI        R18, 82
0x2D22	0xE21B    	LDI        R17, 43
0x2D24	0xE000    	LDI        R16, 0
L_main14:
0x2D26	0x950A    	DEC        R16
0x2D28	0xF7F1    	BRNE       L_main14
0x2D2A	0x951A    	DEC        R17
0x2D2C	0xF7E1    	BRNE       L_main14
0x2D2E	0x952A    	DEC        R18
0x2D30	0xF7D1    	BRNE       L_main14
0x2D32	0x0000    	NOP
0x2D34	0x0000    	NOP
0x2D36	0x0000    	NOP
0x2D38	0x0000    	NOP
;SmokeFactory.c,113 :: 		if(ucPacket[2] != 0x83 && ucPacket[1] != 0x00)
0x2D3A	0x016E9100  	LDS        R16, _ucPacket+2
0x2D3E	0x3803    	CPI        R16, 131
0x2D40	0xF0B9    	BREQ       L__main42
L__main48:
0x2D42	0x016D9100  	LDS        R16, _ucPacket+1
0x2D46	0x3000    	CPI        R16, 0
0x2D48	0xF099    	BREQ       L__main41
L__main49:
L__main34:
;SmokeFactory.c,115 :: 		uiFreq = ((unsigned int)(ucPacket[4]<<8))|ucPacket[5];
0x2D4A	0x01709100  	LDS        R16, _ucPacket+4
0x2D4E	0x2F30    	MOV        R19, R16
0x2D50	0x2722    	CLR        R18
0x2D52	0x01719100  	LDS        R16, _ucPacket+5
0x2D56	0xE010    	LDI        R17, 0
0x2D58	0x2B02    	OR         R16, R18
0x2D5A	0x2B13    	OR         R17, R19
0x2D5C	0x01389300  	STS        _uiFreq+0, R16
0x2D60	0x01399310  	STS        _uiFreq+1, R17
;SmokeFactory.c,116 :: 		bCommStatus = 1;
0x2D64	0x013091B0  	LDS        R27, _bCommStatus+0
0x2D68	0x60B1    	SBR        R27, 1
0x2D6A	0x013093B0  	STS        _bCommStatus+0, R27
;SmokeFactory.c,117 :: 		}
0x2D6E	0xC005    	RJMP       L_main19
;SmokeFactory.c,113 :: 		if(ucPacket[2] != 0x83 && ucPacket[1] != 0x00)
L__main42:
L__main41:
;SmokeFactory.c,120 :: 		bCommStatus = 0;
0x2D70	0x013091B0  	LDS        R27, _bCommStatus+0
0x2D74	0x7FBE    	CBR        R27, 1
0x2D76	0x013093B0  	STS        _bCommStatus+0, R27
;SmokeFactory.c,121 :: 		}
L_main19:
;SmokeFactory.c,122 :: 		vClearBuffer();
0x2D7A	0xDE40    	RCALL      _vClearBuffer+0
;SmokeFactory.c,124 :: 		if(bCommStatus)
0x2D7C	0x013091B0  	LDS        R27, _bCommStatus+0
0x2D80	0xFFB0    	SBRS       R27, 0
0x2D82	0xC07C    	RJMP       L_main20
;SmokeFactory.c,126 :: 		sprintf(ucBuff,"V%3u I%5.1f F%3u",uiVoltage,(uiCurrent/(float)10),(uiFreq));
0x2D84	0x01319100  	LDS        R16, _uiCurrent+0
0x2D88	0x01329110  	LDS        R17, _uiCurrent+1
0x2D8C	0xE020    	LDI        R18, 0
0x2D8E	0x2F32    	MOV        R19, R18
0x2D90	0xE0ED    	LDI        R30, lo_addr(_float_ulong2fp)
0x2D92	0xE0F2    	LDI        R31, hi_addr(_float_ulong2fp+0)
0x2D94	0x9509    	ICALL
0x2D96	0xE040    	LDI        R20, 0
0x2D98	0xE050    	LDI        R21, 0
0x2D9A	0xE260    	LDI        R22, 32
0x2D9C	0xE471    	LDI        R23, 65
0x2D9E	0xE6EE    	LDI        R30, lo_addr(_float_fpdiv1)
0x2DA0	0xE0F2    	LDI        R31, hi_addr(_float_fpdiv1+0)
0x2DA2	0x9509    	ICALL
0x2DA4	0x01389140  	LDS        R20, _uiFreq+0
0x2DA8	0x01399150  	LDS        R21, _uiFreq+1
0x2DAC	0x935F    	PUSH       R21
0x2DAE	0x934F    	PUSH       R20
0x2DB0	0x933F    	PUSH       R19
0x2DB2	0x932F    	PUSH       R18
0x2DB4	0x931F    	PUSH       R17
0x2DB6	0x930F    	PUSH       R16
0x2DB8	0x01339100  	LDS        R16, _uiVoltage+0
0x2DBC	0x01349110  	LDS        R17, _uiVoltage+1
0x2DC0	0x931F    	PUSH       R17
0x2DC2	0x930F    	PUSH       R16
0x2DC4	0xE2BF    	LDI        R27, hi_addr(?lstr_2_SmokeFactory+0)
0x2DC6	0x93BF    	PUSH       R27
0x2DC8	0xEDBD    	LDI        R27, lo_addr(?lstr_2_SmokeFactory+0)
0x2DCA	0x93BF    	PUSH       R27
0x2DCC	0xE0B1    	LDI        R27, hi_addr(_ucBuff+0)
0x2DCE	0x93BF    	PUSH       R27
0x2DD0	0xE3BA    	LDI        R27, lo_addr(_ucBuff+0)
0x2DD2	0x93BF    	PUSH       R27
0x2DD4	0xDE23    	RCALL      _sprintf+0
0x2DD6	0xB7AD    	IN         R26, SPL+0
0x2DD8	0xB7BE    	IN         R27, SPL+1
0x2DDA	0x961C    	ADIW       R26, 12
0x2DDC	0xBFAD    	OUT        SPL+0, R26
0x2DDE	0xBFBE    	OUT        SPL+1, R27
;SmokeFactory.c,128 :: 		sprintf(ucBuff,"V%3u I%3.1f F%3.1f",uiVoltage,(uiCurrent/(float)10),(float)(uiFreq/(float)100));
0x2DE0	0x01389100  	LDS        R16, _uiFreq+0
0x2DE4	0x01399110  	LDS        R17, _uiFreq+1
0x2DE8	0xE020    	LDI        R18, 0
0x2DEA	0x2F32    	MOV        R19, R18
0x2DEC	0xE0ED    	LDI        R30, lo_addr(_float_ulong2fp)
0x2DEE	0xE0F2    	LDI        R31, hi_addr(_float_ulong2fp+0)
0x2DF0	0x9509    	ICALL
0x2DF2	0xE040    	LDI        R20, 0
0x2DF4	0xE050    	LDI        R21, 0
0x2DF6	0xEC68    	LDI        R22, 200
0x2DF8	0xE472    	LDI        R23, 66
0x2DFA	0xE6EE    	LDI        R30, lo_addr(_float_fpdiv1)
0x2DFC	0xE0F2    	LDI        R31, hi_addr(_float_fpdiv1+0)
0x2DFE	0x9509    	ICALL
0x2E00	0x8308    	STD        Y+0, R16
0x2E02	0x8319    	STD        Y+1, R17
0x2E04	0x832A    	STD        Y+2, R18
0x2E06	0x833B    	STD        Y+3, R19
0x2E08	0x01319100  	LDS        R16, _uiCurrent+0
0x2E0C	0x01329110  	LDS        R17, _uiCurrent+1
0x2E10	0xE020    	LDI        R18, 0
0x2E12	0x2F32    	MOV        R19, R18
0x2E14	0xE0ED    	LDI        R30, lo_addr(_float_ulong2fp)
0x2E16	0xE0F2    	LDI        R31, hi_addr(_float_ulong2fp+0)
0x2E18	0x9509    	ICALL
0x2E1A	0xE040    	LDI        R20, 0
0x2E1C	0xE050    	LDI        R21, 0
0x2E1E	0xE260    	LDI        R22, 32
0x2E20	0xE471    	LDI        R23, 65
0x2E22	0xE6EE    	LDI        R30, lo_addr(_float_fpdiv1)
0x2E24	0xE0F2    	LDI        R31, hi_addr(_float_fpdiv1+0)
0x2E26	0x9509    	ICALL
0x2E28	0x8148    	LDD        R20, Y+0
0x2E2A	0x8159    	LDD        R21, Y+1
0x2E2C	0x816A    	LDD        R22, Y+2
0x2E2E	0x817B    	LDD        R23, Y+3
0x2E30	0x937F    	PUSH       R23
0x2E32	0x936F    	PUSH       R22
0x2E34	0x935F    	PUSH       R21
0x2E36	0x934F    	PUSH       R20
0x2E38	0x933F    	PUSH       R19
0x2E3A	0x932F    	PUSH       R18
0x2E3C	0x931F    	PUSH       R17
0x2E3E	0x930F    	PUSH       R16
0x2E40	0x01339100  	LDS        R16, _uiVoltage+0
0x2E44	0x01349110  	LDS        R17, _uiVoltage+1
0x2E48	0x931F    	PUSH       R17
0x2E4A	0x930F    	PUSH       R16
0x2E4C	0xE2BF    	LDI        R27, hi_addr(?lstr_3_SmokeFactory+0)
0x2E4E	0x93BF    	PUSH       R27
0x2E50	0xECBA    	LDI        R27, lo_addr(?lstr_3_SmokeFactory+0)
0x2E52	0x93BF    	PUSH       R27
0x2E54	0xE0B1    	LDI        R27, hi_addr(_ucBuff+0)
0x2E56	0x93BF    	PUSH       R27
0x2E58	0xE3BA    	LDI        R27, lo_addr(_ucBuff+0)
0x2E5A	0x93BF    	PUSH       R27
0x2E5C	0xDDDF    	RCALL      _sprintf+0
0x2E5E	0xB7AD    	IN         R26, SPL+0
0x2E60	0xB7BE    	IN         R27, SPL+1
0x2E62	0x961E    	ADIW       R26, 14
0x2E64	0xBFAD    	OUT        SPL+0, R26
0x2E66	0xBFBE    	OUT        SPL+1, R27
;SmokeFactory.c,129 :: 		Lcd_Out(2,1,ucBuff);
0x2E68	0xE3BA    	LDI        R27, lo_addr(_ucBuff+0)
0x2E6A	0x2E4B    	MOV        R4, R27
0x2E6C	0xE0B1    	LDI        R27, hi_addr(_ucBuff+0)
0x2E6E	0x2E5B    	MOV        R5, R27
0x2E70	0xE0B1    	LDI        R27, 1
0x2E72	0x2E3B    	MOV        R3, R27
0x2E74	0xE0B2    	LDI        R27, 2
0x2E76	0x2E2B    	MOV        R2, R27
0x2E78	0xDBB3    	RCALL      _Lcd_Out+0
;SmokeFactory.c,130 :: 		}
0x2E7A	0xC017    	RJMP       L_main21
L_main20:
;SmokeFactory.c,133 :: 		sprintf(ucBuff,"V--- I--- F-----");
0x2E7C	0xE2BF    	LDI        R27, hi_addr(?lstr_4_SmokeFactory+0)
0x2E7E	0x93BF    	PUSH       R27
0x2E80	0xEFBF    	LDI        R27, lo_addr(?lstr_4_SmokeFactory+0)
0x2E82	0x93BF    	PUSH       R27
0x2E84	0xE0B1    	LDI        R27, hi_addr(_ucBuff+0)
0x2E86	0x93BF    	PUSH       R27
0x2E88	0xE3BA    	LDI        R27, lo_addr(_ucBuff+0)
0x2E8A	0x93BF    	PUSH       R27
0x2E8C	0xDDC7    	RCALL      _sprintf+0
0x2E8E	0xB7AD    	IN         R26, SPL+0
0x2E90	0xB7BE    	IN         R27, SPL+1
0x2E92	0x9614    	ADIW       R26, 4
0x2E94	0xBFAD    	OUT        SPL+0, R26
0x2E96	0xBFBE    	OUT        SPL+1, R27
;SmokeFactory.c,134 :: 		Lcd_Out(2,1,ucBuff);
0x2E98	0xE3BA    	LDI        R27, lo_addr(_ucBuff+0)
0x2E9A	0x2E4B    	MOV        R4, R27
0x2E9C	0xE0B1    	LDI        R27, hi_addr(_ucBuff+0)
0x2E9E	0x2E5B    	MOV        R5, R27
0x2EA0	0xE0B1    	LDI        R27, 1
0x2EA2	0x2E3B    	MOV        R3, R27
0x2EA4	0xE0B2    	LDI        R27, 2
0x2EA6	0x2E2B    	MOV        R2, R27
0x2EA8	0xDB9B    	RCALL      _Lcd_Out+0
;SmokeFactory.c,135 :: 		}
L_main21:
;SmokeFactory.c,136 :: 		}
0x2EAA	0xCE90    	RJMP       L_main0
;SmokeFactory.c,137 :: 		}
L_end_main:
0x2EAC	0x905F    	POP        R5
0x2EAE	0x904F    	POP        R4
0x2EB0	0x903F    	POP        R3
0x2EB2	0x902F    	POP        R2
L__main_end_loop:
0x2EB4	0xCFFF    	RJMP       L__main_end_loop
; end of _main
_USART_Init:
;SmokeFactory.c,166 :: 		void USART_Init(void){
